notice;adresse;codePostal;ville;typeLieu;dateDebut;anneeDebut;dateFin;anneeFin;titreNotice;typePersonne;activitePersonne;activiteComment;latitude;longitude;score;vignette;commentaire;uuid_collection_1;nom_collection_1;uuid_collection_2;nom_collection_2
70a74f80-b625-405c-b8b1-541523f6756a;12 rue Bonaparte;75006;Paris;adresse professionnelle;1920-01-01;1920;2036-12-31;1946;Takara no yama;collectivité;marchand;;48.856706;2.334684;0.9723072727272727;https://agorha.inha.fr/ark:/54721/cb7d02aa-ee9e-40bb-9f5a-a5054fc3655e/doc/c0e29bc9-fd0b-4241-862a-077c5f3a3d83/thumbnail.jpg;;;;;
36353708-ca9b-4f5f-ab69-567b0215ccbb;23 rue de Provence;75009;Paris;Non renseigné;;;;;Demotte;collectivité;marchand;;48.87423380701765;2.33406093003842;;;;;;;
36353708-ca9b-4f5f-ab69-567b0215ccbb;27, rue de Berri;75008;Paris;Non renseigné;1913-01-01;1913;1934-12-31;1934;Demotte;collectivité;marchand;;48.873121;2.305282;0.9699536363636362;;;;;;
435a33ce-9c56-4dfd-af18-fc1e810c78f0;16 rue Taitbout;75009;Paris;adresse professionnelle;1912-01-01;1912;1912-12-31;1912;Chan;collectivité;marchand;"<p>""M. Chan, 16 rue Taitbout, est un importateur de nationalité chinoise, et son magasin offre un très grand choix d’objets de la Chine, et notamment de porcelaines anciennes, parmi lesquelles de très belles pièces monochromes. J’ai particulièrement noté une paire de très beaux vases en céladon, à anses simulées, formées d’anneaux passant dans des mufles d’animaux chimériques. Un vase de dimensions moyennes, forme ovoïde, côtelé, en blanc pur, et un autre, de forme semblable, très légèrement truité, d’un ton blanc jaunâtre, sont des échantillons curieux et intéressants, ainsi qu’une grande coupe vert céladon de l’époque Huan. Le poids de cette pièce céramique est extrêmement lourd. Il y a également un vase balustre en vieux céladon gris, décoré de plusieurs zones d’ornements en grecques d’un beau caractère, un grand nombre de flambés et de belles pièces d’ameublement. Une visite aux magasins de M. Chan est toujours instructive et surtout fructueuse."" (The New York Herald, 20/10/1912)</p>";48.87236515609994;2.336011850911086;;;;;;;
2e961303-fbdc-4dc5-af52-ede502a76781;13 rue Cadet;75009;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Sueur et Merklen;collectivité;marchand;;48.876184175854576;2.343931450211839;;;;;;;
becc9227-7673-4170-b3ce-474abb7df9ae;6 boulevard des Capucines;75009;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Jonas P. et M.;collectivité;marchand;;48.870343449195516;2.331392054482806;;;localisation approximative;;;;
436a8c56-e220-472d-8b84-cf6f62f41502;60 rue du Château-d'Eau;75010;Paris;adresse professionnelle;;;;;Chapus (P.) et Cie;collectivité;marchand;;48.872176;2.356321;0.9756372727272727;;;;;;
d66622cf-3ff3-41b6-a05a-b509f8d22b51;46 rue du Bac;75007;Paris;Non renseigné;1920-01-01;1920;1920-12-31;1920;À la mousmée;collectivité;marchand;;48.85632340732744;2.326171433271579;;;;;;;
ef63cd98-8c68-4b9c-ab96-07c96f9a7d01;24 rue Chauchat;75009;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Woehr, B.;collectivité;marchand;;48.87496492933044;2.339839976689283;;;localisation approximative;;;;
9ee2ab8c-a101-4159-a4ec-fa0a04b09e4c;24 avenue de Breteuil;75007;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Germain, R.;collectivité;marchand;;48.85140565944824;2.311662823213781;;;;;;;
9ee2ab8c-a101-4159-a4ec-fa0a04b09e4c;47 rue de Babylone;75007;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Germain, R.;collectivité;marchand;;48.85167738154961;2.322724893615705;;;localisation approximative;;;;
d0e5695f-3f71-4e9a-9b44-d78dc22a9184;74 rue de Sèvres;75007;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Brugier, A.;collectivité;marchand;;48.84822650377395;2.320052513372192;;;;;;;
49644e44-baa6-44a5-af0b-10916f37bfb0;18 rue Royale;75008;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Grimaldi, Percy;collectivité;marchand;;48.854762064343866;2.365246234837543;;;;;;;
090ba62f-e35d-4dc6-82b4-db33d1e77910;33 rue du Paradis;75010;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Heymann, Armand;collectivité;marchand;;48.875211;2.351102;0.7024436363636364;;;;;;
d469caa9-ea98-4771-9d5e-11302fb23cf2;39 avenue Victor Hugo;75016;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Asséo;collectivité;marchand;;48.871465;2.289894;0.9822745454545454;;;;;;
69ff4f30-c3e5-4f47-bc8c-125bf1bb9e38;59 rue de Chateaudun;75009;Paris;adresse professionnelle;1920-01-01;1920;1920-12-31;1920;Piettre, Georges;collectivité;marchand;;48.876213;2.332325;0.9733654545454545;;;;;;
fb883b2e-7fac-4e71-b24c-850c5b3f3e09;25 rue Louis le Grand;75002;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Andrery;collectivité;marchand;;48.87030577892708;2.333855338567917;;;;;;;
fc42230a-a08c-4483-9fb2-595d956f2835;34 rue de Provence;75009;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Floquet, J.;collectivité;marchand;<p>Maison à Hong Kong</p>;48.87421046939966;2.336968838714851;;;;;;;
fc42230a-a08c-4483-9fb2-595d956f2835;5 rue Saint George;75009;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Floquet, J.;collectivité;marchand;<p>Maison à Hong Kong</p>;48.87470956584656;2.337087443982357;;;;;;;
489b2dd4-5467-4f30-9474-031a3bb48d9a;134 rue du Bac;75007;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Ararat;collectivité;marchand;;48.850780048526055;2.323877958954298;;;;;;;
814dc8c3-6639-404f-9aaa-a332548a1123;22 rue Royale;75008;Paris;adresse professionnelle;1920-01-01;1920;2026-12-31;1936;Lembessis, C.-A.;collectivité;marchand, imprimeur;;48.86572175188251;2.355004914768188;;;;;;;
186eb6f5-9061-47df-bd20-8698db38365a;17 rue de Maubeuge;75009;Paris;adresse professionnelle;1926-01-01;1926;1926-12-31;1926;Fenouil, R.;collectivité;marchand;;48.877738;2.343537;0.9739809090909091;;;;;;
