uuid_collectionneur;uuid_collection;statut_notice;titre_collection;activite_personne
e3d913f7-582f-4896-9251-7017cc7a704d;bdbd39b0-2a03-434e-95eb-e64718f11260;Publiée;Collection de Albert Jacquemart;collectionneur
8605f5c3-ed40-43b1-a37e-c3fdac810bbb;ce103235-2906-4e83-87b9-f52ac2cf65be;Publiée;Collection de Charles Lemire;collectionneur
a22ee1e3-b821-46a2-9f89-afa76fad68e2;e18bb6de-aee9-41e8-9745-12b951093531;Publiée;Collection d'Isabelle Massieu;
1420c0d6-c8a1-4b4d-97bd-c40d5f4eb963;01c00f48-c0bd-43c4-8b20-be115117c3be;Publiée;Collection de Jules Silvestre;
30993d20-4ab9-419a-a543-49d95d9ee36f;423e4ac6-c11a-480c-b860-b22c707914aa;Publiée;Collection de Charles Cartier-Bresson;collectionneur
c1572507-b589-4acb-92c1-4270c86e6e67;db0d603b-03c0-45a1-b86a-7dfd5020c5e3;Publiée;Collection de Paul Labbé;collecteur
490b45ab-aa0b-4dc5-a45c-931041d5e94a;c552fa36-2e7e-4438-8ac9-497dcfbadcf1;Publiée;Collection de Victor Thomas Holbé;collectionneur
0709adfe-5270-4f66-a67e-439c30084822;e64e59f9-a6e8-4c00-92ab-6ce547ae64f2;Publiée;Collection de Hayashi Tadamasa;collectionneur
0d16642f-cfbb-421b-bc64-7602928958dd;c6cd9c7f-7172-4440-9c7d-20d938038f7a;Publiée;Collection de Kenzaburō Wakai;collectionneur
1444c0be-2c17-47e5-8ec4-54a686cf5f0d;630a9f2b-ae51-4de4-aef6-5bc63fac9f91;Publiée;Collection de Joseph Vaylet;collectionneur
9b0e4b81-217e-4520-9102-390369943ad0;7700c86e-4da8-41d0-836e-d1d77af84f32;Publiée;Collection Ernest Monin;collectionneur
c295d5e4-2fc5-46e7-8a5e-9ce7453d9eb0;ad4329c9-fe7a-44d2-ae3c-868b32a912b0;Publiée;Collection d'Henri d'Orléans, duc d'Aumale;
28452f11-6d16-43e6-bdb5-8c926dd01e78;febcca03-9764-4d0e-b4f7-1482f951a885;Publiée;Collection du marquis de Thuisy;collectionneur
f4b1513f-51c5-46f8-b826-67254d988715;16668db0-724c-45b6-8e56-0cc45c07caaa;Publiée;Collection Wannieck;collectionneur
a8bc483b-7191-4bb6-a8e4-85af41a7e3ad;16668db0-724c-45b6-8e56-0cc45c07caaa;Publiée;Collection Wannieck;
c431086e-b7dd-4032-aacb-6c65f5cb78f8;16668db0-724c-45b6-8e56-0cc45c07caaa;Publiée;Collection Wannieck;collectionneur
ac390da3-aac3-4896-a7fe-e593ebb38a27;88bfc100-3844-4c8c-95f4-54f4cb0099f7;Publiée;Collection de Jean-Baptiste d'Allard;collectionneur
8ccedfb3-7615-4327-a739-a9c3b432ab72;7c5d69b4-abef-489b-9892-833d7aa37b65;Publiée;Collection d'Emile Javal;collectionneur
ff3c9e20-4947-4840-8962-041158f4a9ce;0691143b-1997-4104-9a5e-44ee58ec2173;Publiée;Collection de Louis de France, dit le Grand Dauphin;collectionneur
7d295c63-e9fd-469e-a96f-8e0ade55c253;ba05ef4e-663f-4027-b48c-c6a3e1cf6358;Publiée;Collection du comte de Provence;collectionneur
4c0693cb-e60a-41dd-af6c-35f6d9b9b8cd;5bc30d97-1f2e-41e4-b615-80f6e7c3c2de;Publiée;Collection du duc André-Joseph d'Ancezune;collectionneur
b0e71fbc-b5fc-4071-a06f-d1415d31a950;3285789c-2b9c-4cc0-a6d9-9d67abdbb721;Publiée;Collection de Louise Cahen d'Anvers;collectionneur
ea34b45e-f41e-490e-a00a-a7108d0a2ecc;f25c0b3e-794c-4db1-af7f-10e823e2b618;Publiée;Collection de Hugo Cahen d'Anvers;collectionneur
c460aee8-be84-4a97-90d2-d882468bb70d;64a2f4da-725a-4bd8-8f4f-9888b0f89b53;Publiée;Collection de Marie Joseph d’Hostun, duc de Tallard;collectionneur
37c2953d-2678-4df7-90b0-a4655afe4a5f;dae8f9fa-2e2d-4c22-9d17-000b103e642c;Publiée;Collection de Florine Langweil;marchand,collectionneur,expert
6776eb7b-e67e-4c12-8fa8-5d38f8f97068;9d6173b1-7363-4fda-bbab-10c84da6b159;Publiée;Collection d'Eugène Burnouf;collectionneur
6f50503a-834f-4d34-9786-4b1abf9510a1;a2186edf-ece6-4ec9-8fbb-506af756fb52;Publiée;Collection de Marie-Antoinette;collectionneur
2e9fb2f4-074f-410f-8379-303c83527371;04be38f7-7aed-47be-b8e3-5cab86bf3463;Publiée;Collection de duchesse du Maine (Louise de Bourbon);collectionneur
1016aa5b-ddc9-4d81-8a86-508f387fd8df;3112f59e-08b8-4b22-9f9d-ad343a1d6cd6;Publiée;Collection de Paul Mus;collecteur
e6f7fdb9-2ec7-4875-a805-65b65862aee3;5203e532-e256-4038-9bda-5462b421dc55;Publiée;Collection de Émile Tastet;marchand
cd9b2fee-e260-4787-acaf-c45e1cdf9a0b;e6bb0b1d-e317-4f98-b686-8af539416930;Publiée;Collection de Albert Morice;collecteur
0edc45b9-5e1e-47c0-a7c8-9d5b8637797e;c0cc993a-151d-445e-a1c8-d248f2dedb75;Publiée;Collection d'Isaac de Camondo;collectionneur
b50b9839-4c9b-4c4d-b3e8-b0cc5f8e22d0;89c35544-e4eb-4371-bc82-4ef898b998ec;Publiée;Collection de Jean-Baptiste Cécille;collecteur
79551d6a-77ff-47ad-ae08-a7f999600192;4f2af1e3-cc9e-4f67-b814-5f8c7eb75b99;Publiée;Collection de C. T. Loo;collectionneur
02812d68-980d-4eda-8fbb-bbeac7152fe3;490fd84d-39f4-4647-a4b8-39ea2fbf63c0;Publiée;Collection de Paul Ginier;collecteur
7b7a3b95-c043-4d10-a1da-ea31196a538a;c0b3569e-1668-4a2b-8175-cfbb813efbda;Publiée;Collection Baron Albert de Dietrich (1861-1956);collectionneur
e72b3a26-9725-4867-b334-38ad06c7f2bc;0aaf236f-64ad-4bc4-90d1-83dd5825b831;Publiée;Collection de Jules Cantini;collectionneur
52eea5dc-3234-4c9c-9140-c071a7694c22;287f65f0-de5b-462e-91cb-e6c0fa63dc9a;Publiée;Collection d'Eugène Gallois;collectionneur
d08a4c5c-5363-4bf2-a356-d2ebb121e1c8;84c7b0d0-862d-4125-aec2-4b28832f5bf1;Publiée;Collection de Joseph Eysséric;
a783ca78-d2bf-4589-a4e4-370cb9783fbf;b40eb37f-3e8c-4cec-8319-56e4869fe830;Publiée;Collection d'Henri Léonard Bertin;collectionneur
f2f66a19-1d55-4078-a8f7-71edb3580775;b2fcc8d4-75bb-4e86-a5c8-a49de14cccdf;Publiée;Collection de Camille Lefèvre;collectionneur
30a1581d-197a-4ed3-84eb-b02e76e3fa23;7e008c94-6d71-4591-b445-7a013a1578a8;Publiée;Collection de Georges Charpentier;collectionneur
e7f1a811-0617-4e63-8bdb-84ed4ee5b8e9;4a4c5d8f-39af-4c52-bff9-e72d8c99d820;Publiée;Collection d'Edmond et Jules de Goncourt;collectionneur
91950c20-65b8-4b50-aaa5-0df1520e6c63;4a4c5d8f-39af-4c52-bff9-e72d8c99d820;Publiée;Collection d'Edmond et Jules de Goncourt;collectionneur
f8c1e589-a7db-406b-b4c5-a7f4e4515f6f;aaad7c73-440a-458b-a3f5-b745d46e2177;Publiée;Collection d'Isidore Hedde;collecteur
b2ee0b7b-5555-4275-92e2-40796144bdc2;68431bbe-53da-4d14-b461-2337a9c78164;Publiée;Collection de Giuseppe De Nittis;collectionneur
d6a601f5-7f5c-46d0-8766-acc3fd72465d;e56ef7c9-5d1f-41be-bf24-211e2a05af63;Publiée;Collection de Pierre Loti;collectionneur
63ec4c54-507e-437e-a16b-edee992aad69;d251430d-cff4-48a5-8590-4bc5784e1df7;Publiée;Collection de Charles-Eudes Bonin;collectionneur
09d32995-6079-41a7-90aa-08b490d1a47e;1adfef72-2ac2-4abe-a8b3-845dab3c3b10;Publiée;Collection de Louis Laurent;collecteur
3b037426-54ea-4dd8-b9f3-4eae5d0cede9;daaa32db-e4e6-4819-9fd9-c5e9c922d889;Publiée;Collection de Joseph Martin;collectionneur
47dc33bb-5b65-425d-aa41-6f2e4e4241e1;480ad6ae-a4b9-4800-bfb7-e444b6a50adf;Publiée;Collection d'Abraham-Hyacinthe Anquetil-Duperron;collecteur
e212343a-0d46-42fe-80d4-5cd639f57bce;2a2f1fc5-a971-413f-8f66-6e8defa5e427;Publiée;Collection de Victor Jacquemont;collecteur
01363bab-56e1-41cb-9287-d8cfa6087ff8;3c27c118-6ee8-420e-bba7-0794ca8e1932;Publiée;Collection de Vincent Van Gogh;collectionneur
